title,author,year,publication,citation
Extensions of Karger's Algorithm: Why They Fail in Theory and How They Are Useful in Practice,"Jenner Erik , Sanmart{\'\i}n Enrique Fita , Hamprecht Fred A.",2021,ICCV2021,0
Geometry-Free View Synthesis: Transformers and No 3D Priors,"Rombach Robin , Esser Patrick , Ommer Bj\""orn",2021,ICCV2021,0
Scaling-Up Disentanglement for Image Translation,"Gabbay Aviv , Hoshen Yedid",2021,ICCV2021,17
MeshTalk: 3D Face Animation From Speech Using Cross-Modality Disentanglement,"Richard Alex,er , Zollh\""ofer Michael , Wen Y,ong , de la Torre Fern,o , Sheikh Yaser",2021,ICCV2021,39
Learning a Single Network for Scale-Arbitrary Super-Resolution,"Wang Longguang , Wang Yingqian , Lin Zaiping , Yang Jungang , An Wei , Guo Yulan",2021,ICCV2021,40
Salient Object Ranking With Position-Preserved Attention,"Fang Hao , Zhang Daoxin , Zhang Yi , Chen Minghao , Li Jiawei , Hu Yao , Cai Deng , He Xiaofei",2021,ICCV2021,5
Paint Transformer: Feed Forward Neural Painting With Stroke Prediction,"Liu Songhua , Lin Tianwei , He Dongliang , Li Fu , Deng Ruifeng , Li Xin , Ding Errui , Wang Hao",2021,ICCV2021,30
DetCo: Unsupervised Contrastive Learning for Object Detection,"Xie Enze , Ding Jian , Wang Wenhai , Zhan Xiaohang , Xu Hang , Sun Peize , Li Zhenguo , Luo Ping",2021,ICCV2021,168
PR-RRN: Pairwise-Regularized Residual-Recursive Networks for Non-Rigid Structure-From-Motion,"Zeng Haitian , Dai Yuchao , Yu Xin , Wang Xiaohan , Yang Yi",2021,ICCV2021,1
YouRefIt: Embodied Reference Understanding With Language and Gesture,"Chen Yixin , Li Qing , Kong Deqian , Kei Yik Lun , Zhu Song-Chun , Gao Tao , Zhu Yixin , Huang Siyuan",2021,ICCV2021,8
Omniscient Video Super-Resolution,"Yi Peng , Wang Zhongyuan , Jiang Kui , Jiang Junjun , Lu Tao , Tian Xin , Ma Jiayi",2021,ICCV2021,25
Clothing Status Awareness for Long-Term Person Re-Identification,"Huang Yan , Wu Qiang , Xu JingSong , Zhong Yi , Zhang ZhaoXiang",2021,ICCV2021,0
Exploring Temporal Coherence for More General Video Face Forgery Detection,"Zheng Yinglin , Bao Jianmin , Chen Dong , Zeng Ming , Wen Fang",2021,ICCV2021,37
A Lazy Approach to Long-Horizon Gradient-Based Meta-Learning,"Jamal Muhammad Abdullah , Wang Liqiang , Gong Boqing",2021,ICCV2021,0
Representative Color Transform for Image Enhancement,"Kim Hanul , Choi Su-Min , Kim Chang-Su , Koh Yeong Jun",2021,ICCV2021,26
Image Synthesis via Semantic Composition,"Wang Yi , Qi Lu , Chen Ying-Cong , Zhang Xiangyu , Jia Jiaya",2021,ICCV2021,17
Temporally-Coherent Surface Reconstruction via Metric-Consistent Atlases,"Bednarik Jan , Kim Vladimir G. , Chaudhuri Siddhartha , Parashar Shaifali , Salzmann Mathieu , Fua Pascal , Aigerman Noam",2021,ICCV2021,4
Online Continual Learning With Natural Distribution Shifts: An Empirical Study With Visual Data,"Cai Zhipeng , Sener Ozan , Koltun Vladlen",2021,ICCV2021,27
Social Fabric: Tubelet Compositions for Video Relation Detection,"Chen Shuo , Shi Zenglin , Mettes Pascal , Snoek Cees G. M.",2021,ICCV2021,8
On Feature Decorrelation in Self-Supervised Learning,"Hua Tianyu , Wang Wenxiao , Xue Zihui , Ren Sucheng , Wang Yue , Zhao Hang",2021,ICCV2021,64
